,Unnamed: 0,epoche,layer,accuracy,f1-score,task,model,random
24,24.0,300000,3,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
25,25.0,300000,4,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
26,26.0,300000,5,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
27,27.0,300000,6,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
28,28.0,400000,0,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
29,29.0,400000,1,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
30,30.0,400000,2,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
31,31.0,400000,3,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
32,32.0,400000,4,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
33,33.0,400000,5,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
34,34.0,400000,6,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
35,35.0,500000,0,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
36,36.0,500000,1,0.8125544899738448,0.4482924482924483,Person,t5,TRUE
37,37.0,500000,2,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
38,38.0,500000,3,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
39,39.0,500000,4,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
40,40.0,500000,5,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
41,41.0,500000,6,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
42,42.0,600000,0,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
43,43.0,600000,1,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
44,44.0,600000,2,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
45,45.0,600000,3,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
46,46.0,600000,4,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
47,47.0,600000,5,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
48,48.0,600000,6,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
49,49.0,700000,0,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
50,50.0,700000,1,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
51,51.0,700000,2,0.8125544899738448,0.4482924482924483,Person,t5,TRUE
52,52.0,700000,3,0.8123801220575414,0.4482393688666538,Person,t5,TRUE
53,53.0,700000,4,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
54,54.0,700000,5,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
55,55.0,700000,6,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
56,56.0,800000,0,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
57,57.0,800000,1,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
58,58.0,800000,2,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
59,59.0,800000,3,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
60,60.0,800000,4,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
61,61.0,800000,5,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
62,62.0,800000,6,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
63,63.0,900000,0,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
64,64.0,900000,1,0.8125544899738448,0.4482924482924483,Person,t5,TRUE
65,65.0,900000,2,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
66,66.0,900000,3,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
67,67.0,900000,4,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
68,68.0,900000,5,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
69,69.0,900000,6,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
70,70.0,1000000,0,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
71,71.0,1000000,1,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
72,72.0,1000000,2,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
73,73.0,1000000,3,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
74,74.0,1000000,4,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
75,75.0,1000000,5,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
76,76.0,1000000,6,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
77,77.0,1100000,0,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
78,78.0,1100000,1,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
