c1,c2,epoche,layer,accuracy,f1-score,task,model,random
,117,1100000,6,0.29311947931194793,0.3061430151826248,Tree depth,t5,FALSE
,0,0,0,0.8242371403661726,0.5939384948397298,Person,t5,FALSE
,1,0,1,0.8221447253705318,0.5701703182754437,Person,t5,FALSE
,2,0,2,0.8184829991281605,0.5570258452879857,Person,t5,FALSE
,3,0,3,0.8193548387096774,0.5594415031661996,Person,t5,FALSE
,4,0,4,0.8197035745422843,0.5597166322557039,Person,t5,FALSE
,5,0,5,0.8197035745422843,0.5573973727422004,Person,t5,FALSE
,6,0,6,0.8179598953792502,0.5453025210696685,Person,t5,FALSE
,7,20000,0,0.8258064516129032,0.6030883136495072,Person,t5,FALSE
,8,20000,1,0.8219703574542284,0.5844063972102576,Person,t5,FALSE
,9,20000,2,0.8202266782911944,0.5761541974553848,Person,t5,FALSE
,10,20000,3,0.8195292066259808,0.5729098469203726,Person,t5,FALSE
,11,20000,4,0.8163905841325196,0.5582578419692411,Person,t5,FALSE
,12,20000,5,0.8179598953792502,0.5672949338729494,Person,t5,FALSE
,13,20000,6,0.8176111595466434,0.559213875407955,Person,t5,FALSE
,14,40000,0,0.8298169136878815,0.6039416206314676,Person,t5,FALSE
,15,40000,1,0.8247602441150829,0.5939143320884457,Person,t5,FALSE
,16,40000,2,0.8247602441150829,0.5953924791407236,Person,t5,FALSE
,17,40000,3,0.8245858761987794,0.5947441724293336,Person,t5,FALSE
,18,40000,4,0.8242371403661726,0.5843119929450219,Person,t5,FALSE
,19,40000,5,0.8230165649520488,0.5811627967383364,Person,t5,FALSE
,20,40000,6,0.8233653007846556,0.5761251146866386,Person,t5,FALSE
,21,60000,0,0.8247602441150829,0.6007044596774322,Person,t5,FALSE
,22,60000,1,0.8249346120313862,0.5999103367347562,Person,t5,FALSE
,23,60000,2,0.8226678291194419,0.5915513631341542,Person,t5,FALSE
,24,60000,3,0.8230165649520488,0.5883677802469005,Person,t5,FALSE
,25,60000,4,0.8228421970357455,0.5815371798738886,Person,t5,FALSE
,26,60000,5,0.8210985178727114,0.5810812003806936,Person,t5,FALSE
,27,60000,6,0.8204010462074979,0.5676291904552775,Person,t5,FALSE
,28,80000,0,0.8273757628596339,0.6059602088275907,Person,t5,FALSE
,29,80000,1,0.8259808195292067,0.6051295700829765,Person,t5,FALSE
,30,80000,2,0.8268526591107236,0.6026298549035225,Person,t5,FALSE
